Type	Part	Manufacturer	Count	SKU
Fan	24V 5015 radial	Winsinn	4	Dual Ball Bearing Quiet
Fan	12V 5015 radial	Winsinn	4	Hydraulic High Speed
Fan	12V 4010	HK Fan	2	AB4010M12
Fan	12V 4010	Noctua	1	NF-A4x10FLX
Fan	12V 4010	AAA	1	HZHD4010MS
Fan	12V 4020	Avanexpress	2
Fan	24V 4010	Creality	1	PD04010MS4
Fan	24V 4010 radial	Creality	1	PB04010MS4
Fan	24V 4010	Sunnon	1	KDE2404PFV2
Fan	5V 4020	Noctua	1
Fan	12V 4020	Wathai	2
Fan	24V 4020	WinSinn	4
Fan	12V 80mm	Noctua	1	NF-R8-Redux-1200
Fan	24V 6010	Pengda	3
Fan	12V 6015	Doceng	1	FD126015-SL1
Fan	12V 3010	Jialuno	1	JLN3010
Fan	12V 120mm	CoolerMaster	3	A12025-12CB-3BN-F1
